"Institute","Institute_standardized"
"Univ Fed Rio de Janeiro, Dept Zool, Inst Biol, Rio De Janeiro, Brazil.","Federal University of Rio de Janeiro (UFRJ) - Department of Zoology - Institute of Biology"
"Museu Nacional - UFRJ","Federal University of Rio de Janeiro (UFRJ) - National museum of Brazil"
"Museu Nacl MN RJ","Federal University of Rio de Janeiro (UFRJ) - National museum of Brazil"
"Museu Nacl MN RJ, Lab Carcinol, Dept Invertebrados, Quinta Boa Vista S-N, BR-20940040 Rio De Janeiro, RJ, Brazil;","Federal University of Rio de Janeiro (UFRJ) - National museum of Brazil"
"Univ Fed Rio de Janeiro UFRJ, Museu Nacl, Dept Invertebrados, Quinta Boa Vista S-N, BR-20940040 Rio De Janeiro, RJ, Brazil","Federal University of Rio de Janeiro (UFRJ) - National museum of Brazil"
"Univ Fed Rio de Janeiro, Dept Invertebrados, Museu Nacl, BR-20940040 Rio De Janeiro, Brazil;","Federal University of Rio de Janeiro (UFRJ) - National museum of Brazil"
"Univ Fed Rio de Janeiro, Museu Nacl, BR-20940040 Rio De Janeiro, Brazil.","Federal University of Rio de Janeiro (UFRJ) - National museum of Brazil"
"Universidade Federal do Rio de Janeiro - Museu Nacional","Federal University of Rio de Janeiro (UFRJ) - National museum of Brazil"
"Federal University of Rio de Janeiro (UFRJ) - National museum of Brazil","Federal University of Rio de Janeiro (UFRJ) - National museum of Brazil"
"Univ Fed Rio Grande do Sul","Federal University of Rio Grande do Sul"
"Univ Fed Rio Grande do Sul, Inst Biociencias, Dept Zool, Lab Carcinol, Porto Alegre, RS, Brazil;","Federal University of Rio Grande do Sul"
"Univ Fed Rio Grande, Inst Oceanog, Programa Posgrad Oceanog Fis, Quim & Geol, Av Italia Km 8, BR-96203900 Rio Grande, RS, Brazil.","Federal University of Rio Grande do Sul"
"Univ Fed Rio Grande, Lab Zooplancton, Inst Oceanog, Caixa Postal 474,Ave Italia,Km 8,Campus Carreiros, BR-96203900 Rio Grande, RS, Brazil.","Federal University of Rio Grande do Sul"
"Univ Fed Santa Maria, Programa Posgrad Biodiversidade Anim, Av Roraima 1000, BR-97105900 Santa Maria, RS, Brazil.","Federal University of Santa Maria"
"Univ Fed Sao Paulo Unifesp, Lab Integrated Sci LabnSci, Dept Ciencias Ambientais, Unidade Jose de Filippi, Rua Prof Artur Riedel 275, BR-09972270 Diadema, SP, Brazil.","Federal University of São Paulo"
"Univ Fed Sao Paulo UNIFESP, Santos, Brazil.","Federal University of São Paulo"
"Univ Fed Sergipe","Federal University of Sergipe Campus São Cristóvão"
"Univ Fed Sergipe, Ctr Ciencias Biol & Saude, Dept Biol, Lab Bentos Costeiro, BR-49100000 Sao Cristovao, Sergipe, Brazil.","Federal University of Sergipe Campus São Cristóvão"
"Univ Fed Sergipe, Dept Biocincias, Lab Invertebrados Marinhos, Campus Prof Alberto Carvalho, Itabaiana, Sergipe, Brazil;","Federal University of Sergipe Campus São Cristóvão"
"Univ Fed Sergipe, Dept Engn Pesca & Aquicultura, Av Marechal Rondon,S-N Jardim Rosa Elze, BR-49100000 Sao Cristovao, Sergipe, Brazil.","Federal University of Sergipe Campus São Cristóvão"
"Univ Fed Sergipe, Lab Bentos Costeiro, Dept Biol, Ctr Ciencias Biol & Saude, BR-49100000 Sao Cristovao, Sergipe, Brazil;","Federal University of Sergipe Campus São Cristóvão"
"UNIRIO Univ Fed Estado Rio de Janeiro","Federal University of the State of Rio de Janeiro (UNIRIO)"
"UNIRIO Univ Fed Estado Rio de Janeiro, Programa Posgrad Biodiversidade Neotrop PPGBIO, Rio De Janeiro, Brazil;","Federal University of the State of Rio de Janeiro (UNIRIO)"
"Univ Estado Rio de Janeiro, Lab Ecol & Dinam Bentica Marinha, Rua Francisco Portela 1470,Sala 172, BR-24435005 Sao Goncalo, RJ, Brazil.","Federal University of the State of Rio de Janeiro (UNIRIO)"
"Univ Fed Estado Rio De Janeiro","Federal University of the State of Rio de Janeiro (UNIRIO)"
"Univ Fed Estado Rio de Janeiro UNIRIO","Federal University of the State of Rio de Janeiro (UNIRIO)"
"Univ Fed Estado Rio de Janeiro UNIRIO, Lab Microalgas Marinhas, Av Pasteur 458,314-B, BR-22290240 Rio De Janeiro, RJ, Brazil;","Federal University of the State of Rio de Janeiro (UNIRIO)"
"Univ Fed Estado Rio de Janeiro UNIRIO, Programa Posgrad Biodiversidade Neotrop, Av Pasteur 458,S 500, BR-22290240 Urca, RJ, Brazil;","Federal University of the State of Rio de Janeiro (UNIRIO)"
"Universidade Federal do Estado do Rio de Janeiro","Federal University of the State of Rio de Janeiro (UNIRIO)"
"Univ Fed Estado Rio De Janeiro, Inst Biociencias, Av Pasteur 458, BR-22290240 Urca, RJ, Brazil;","Federal University of the State of Rio de Janeiro (UNIRIO) - Biology Institute"
"Univ Fed Mato Grosso, Inst Biociencias, Dept Biol & Zool, Ave Fernando Correa da Costa 2367, BR-78060900 Cuiaba, MT, Brazil.","Federal University of Mato Grosso"
"Univ Fed Mato Grosso, Programa Pos Grad Ecol & Conservacao Biodiversida, Curaba, Mato Grosso, Brazil.","Federal University of Mato Grosso"
"Fédération Wallonie-Bruxelles","Fédération Wallonie-Bruxelles"
"Field Museum Nat Hist","Field Museum of Natural History (FMNH)"
"Field Museum Nat Hist, Chicago, IL 60605 USA.","Field Museum of Natural History (FMNH)"
"Field Museum Nat Hist, Dept Zool, Chicago, IL 60605 USA.","Field Museum of Natural History (FMNH)"
"Field Museum Nat Hist, Integrat Res Ctr, Chicago, IL 60605 USA.","Field Museum of Natural History (FMNH)"
"Field Museum Nat Hist, Integrat Res Ctr, Chicago, IL 60605 USA;","Field Museum of Natural History (FMNH)"
"Field Museum, Dept Zool, Chicago, IL 60605 USA.","Field Museum of Natural History (FMNH)"
"Field Studies Council","Field Studies Council"
"Finnish Environm Inst","Finnish Environment Institute (SYKE)"
"Finnish Environm Inst, Ctr Marine Res, Helsinki 00251, Finland;","Finnish Environment Institute (SYKE) - Centre of Marine Research"
"Fischwanderung.ch GmbH","Fischwanderung.ch GmbH"
"Fish Vet Group Limited","Fish Vet Group Limited"
"Bedford Inst Oceanog, Dept Fisheries & Oceans Canada, Ocean & Ecosyst Sci Div, Dartmouth, NS B2Y 4A2, Canada.","Government of Canada - Fisheries and Oceans Canada - Bedford Institute of Oceanography"
"Fishery Survey India","Fishery Survey of India"
"Fishery Survey India, Port Blair 744101, Andaman & Nicob, India;","Fishery Survey of India"
"Five Coll Inc","Five Colleges Inc"
"Five Coll Inc, 97 Spring St, Amherst, MA 01002 USA;","Five Colleges Inc"
"Flanders Hydraulics Research","Flanders Hydraulics Research"
"Flanders Marine Institute VLIZ","Flanders Marine Institute (VLIZ)"
"Flanders Marine Institute/Vlaams Instituut voor de Zee (VLIZ)","Flanders Marine Institute (VLIZ)"
"Flemish Marine Data and Information Centre, Flanders Marine Institute","Flanders Marine Institute (VLIZ)"
"Vlaams Instituut voor de Zee (VLIZ)","Flanders Marine Institute (VLIZ)"
"VLIZ: Vlaams Instituut voor de Zee / Flanders Marine Institute","Flanders Marine Institute (VLIZ)"
"vliz","Flanders Marine Institute (VLIZ)"
"FleetMon","FleetMon"
"Flemish Government","Flemish Government"
"vlaanderen","Flemish Government"
"Vlaamse Overheid","Flemish Government"
"Departement Economie, Wetenschap en Innovatie","Flemish Government - Department of Economy, Science and Innovation (EWI)"
"Departement EWI","Flemish Government - Department of Economy, Science and Innovation (EWI)"
"ewivlaanderen","Flemish Government - Department of Economy, Science and Innovation (EWI)"
"Department of Economy, Science and Innovation","Flemish Government - Department of Economy, Science and Innovation (EWI)"
"Economy, Science and Innovation Department","Flemish Government - Department of Economy, Science and Innovation (EWI)"
"Flanders Dept Economy, Science and Innovation (EWI)","Flemish Government - Department of Economy, Science and Innovation (EWI)"
"Departement Mobiliteit en Openbare Werken","Flemish government - Department of Mobility and Public Works"
"Departement omgeving","Flemish Government - Department of surroundings"
"Flinders Univ S Australia","Flinders University"
"Flinders Univ S Australia, Ctr Marine Bioprod Dev, Adelaide, SA 5042, Australia.","Flinders University"
"Florida Atlantic University","Florida Atlantic University"
"Florida Fish and Wildlife Conservation Commission","Florida Fish and Wildlife Conservation Commission"
"Florida Fish &amp; Wildlife Conservat Commiss, Fish &amp; Wildlife Res Inst, 100 8th Ave SE, St Petersburg, FL 33701 USA.","Florida Fish and Wildlife Conservation Commission - Fish and Wildlife Research Institute (FWRI)"
"Florida Inst Technol","Florida Institute of Technology"
"Florida Inst Technol, Dept Ocean Engn & Marine Sci, Melbourne, FL 32901 USA","Florida Institute of Technology"
"Florida International University, Biscayne Bay Campus","Florida International University, Biscayne Bay Campus"
"Florida State Univ","Florida State University (FSU)"
"Florida State Univ, Coastal & Marine Lab, St Teresa, FL 32358 USA;","Florida State University (FSU)"
"Florida State Univ, Dept Biol Sci, Tallahassee, FL 32304 USA.","Florida State University (FSU)"
"Florida State Univ, Earth Ocean & Atmospher Sci Dept, Tallahassee, FL 32306 USA.","Florida State University (FSU)"
"Florida State University","Florida State University (FSU)"
"Univ Fed Fluminense","Fluminense Federal University"
"Univ Fed Fluminense, Dept Biol Marinha, BR-24001970 Niteroi, RJ, Brazil.","Fluminense Federal University"
"Universidade Federal Fluminense (UFF), Brazil","Fluminense Federal University"
"Univ Fed Fluminense, Dept Biol Marinha, Programa Posgrad Biol Marinha & Ambientes Costeir, Niteroi, RJ, Brazil;","Fluminense Federal University - Dep Marine Biology"
"FM Global","FM Global"
"Fdn CIMA, Savona, Italy.","Fondazione CIMA"
"Forschungszentrum Julich, D-52428 Julich, Germany.","Forschungszentrum Jülich"
"Fort Lewis College","Fort Lewis College"
"FORTH ICS","FORTH - ICS (Institute of Computer Science)"
"Fdn Res & Technol Hellas FORTH","FORTH Foundation for Research and Technology Hellas"
"Fdn Res & Technol Hellas FORTH, Inst Appl & Computat Math, N Plastira 100, Iraklion 70013, Greece;","FORTH Foundation for Research and Technology Hellas - Institute of Applied and Computational Mathematics"
"Franklin & Marshall Coll, Dept Earth & Environm, Lancaster, PA 17604 USA.","Franklin & Marshall College"
"Free Univ Berlin, Bot Garden & Bot Museum Berlin, Berlin, Germany.","Free University of Berlin"
"Free Univ Berlin, Inst Geol Sci, 74-100 Bldg C&D, D-12249 Berlin, Germany.","Free University of Berlin"
"Free Univ Berlin, Inst Parasitol & Trop Vet Med, Berlin, Germany.","Free University of Berlin"
"Systematik und Evolution der Tiere Freie Universität Berlin","Free University of Berlin - Systematics and evolution of animals"
"ANTABIF, B-1000 Brussels, Belgium;","Free University of Brussels (VUB)"
"Free University of Brussels","Free University of Brussels (VUB)"
"Herbarium and Library of African Botany, UniversitÃ© Libre de Bruxelles","Free University of Brussels (VUB)"
"ULB","Free University of Brussels (VUB)"
"Univ Libre Bruxelles","Free University of Brussels (VUB)"
"Univ Libre Bruxelles ULB, Evolutionary Biol & Ecol, CP 160-12,Ave FD Roosevelt 50, B-1050 Brussels, Belgium.","Free University of Brussels (VUB)"
"Univ Libre Bruxelles, B-1000 Brussels, Belgium;","Free University of Brussels (VUB)"
"Université Libre de Bruxelles","Free University of Brussels (VUB)"
"Université Libre de Bruxelles (ULB)","Free University of Brussels (VUB)"
"Vrije Univ Brussel","Free University of Brussels (VUB)"
"Vrije Universiteit Brussel","Free University of Brussels (VUB)"
"Vrije Universiteit Brussel (VUB)","Free University of Brussels (VUB)"
"Environmental Hydroacoustics Laboratory, UniversitÃ© libre de Bruxelles","Free University of Brussels (VUB) - Environmental Hydroacoustics Laboratory (EHL)"
"ULB, Hop Erasme, Serv Neurochirurg, B-1070 Brussels, Belgium;","Free University of Brussels (VUB) - Erasmus Hospital"
"Université Libre de Bruxelles, Faculty of Sciences","Free University of Brussels (VUB) - Faculty of Sciences"
"Marine Biology, Vrije Universiteit Brussel (VUB)","Free University of Brussels (VUB) - Faculty of Sciences - Department of Biology of Organisms - Marine Biology Research Unit"
"Univ Libre Bruxelles, Unit Social Ecol, Brussels, Belgium;","Free University of Brussels (VUB) - Faculty of Sciences - Department of Biology of Organisms - Unit of Social Ecology (USE)"
"Faculty of Sciences and Bioengineering Sciences, Department of Biology, Vrije Universiteit Brussel (VUB)","Free University of Brussels (VUB) - Faculty of Sciences and Bioengineering Sciences - Biology Department"
"Laboratoire de Biologie Marine, Université Libre de Bruxelles","Free University of Brussels (VUB) - Faculty of Sciences and Bioengineering Sciences - Biology Department - Ecology And Biodiversity Research Group - Marine Biology Laboratory"
"Univ Libre Bruxelles, Marine Biol Lab, CP160-15,50, B-1050 Brussels, Belgium;","Free University of Brussels (VUB) - Faculty of Sciences and Bioengineering Sciences - Biology Department - Ecology And Biodiversity Research Group - Marine Biology Laboratory"
"Université Libre de Bruxelles - Laboratoire d'Ecologie des systèmes aquatiques ","Free University of Brussels (VUB) - Laboratoire d'Ecologie des systèmes aquatiques "
"Ecole Navale, IRENav, Grp Ecoles Poulm, Inst Rech, CC 600, F-29240 Brest 9, France.","French Naval Academy Research Institute (IRENav)"
"Naval Acad Res Inst, Brest, France.","French Naval Academy Research Institute (IRENav)"
"CRESCO, Lab Environm & Ressources Bretagne Nord, IFREMER, 38 Rue Port Blanc, F-35800 Dinard, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"IFREMER Ctr Brest REM EEP LEP, CS10070, F-29280 Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"IFREMER, Ctr Brest, REM, EEP,LEP,ZI Pointe Diable, CS10070, F-29280 Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"IFREMER, Ctr Bretagne, REM EEP, Lab Environm Profond, CS 10070, F-29280 Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"IFREMER, Ctr Bretagne, REM EEP, Lab Environm Profond,Inst Carnot EDROME, F-29280 Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"Ifremer, Ctr Bretagne, REM, EEP,Lab Environm Profond,ZI Pointe Diable, CS 10070, F-29280 Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"IFREMER, Dept Ecol & Modeles Halieut, F-44311 Nantes 03, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"IFREMER, Dynam Environ Cotier DYNECO, Lab Ecol Benthique, F-29280 Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"IFREMER, Dyneco PELAGOS, BP 70, F-29280 Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"IFREMER, ODE DYNECO Lab Ecol Benth, F-29280 Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"IFREMER, RBE STH LBH, Ctr Bretagne, ZI Pointe Diable, CS 10070, F-29280 Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"Inst Francais Rech Exploitat MER IFREMER, Lab Environm Profond, Plouzane, France.","French Research Institute for Exploitation of the Sea (IFREMER)"
"Friedrich-Loeffler-Institut","Friedrich Loeffler Institute"
"GeoZentrum Nordbayern, Paleobiol, D-91054 Erlangen, Germany.","Friedrich-Alexander University Erlangen-Nürnberg"
"Fudan University","Fudan University"
"Fugro GB Marine Ltd","Fugro"
"Fugro","Fugro"
"Fukuoka Inst Hlth & Environm Sci, Mukaizano 39, Dazaifu, Fukuoka 8110135, Japan.","Fukuoka Institute of Health and Environmental Sciences"
"Univ Gadjah Mada","Gadjah Mada University"
"Univ Gadjah Mada, Fac Biol, Lab Ecol & Conservat, Jalan Tekn Selatan, Sekip Utara 55281, Yogyakarta, Indonesia;","Gadjah Mada University"
"Galway-Mayo Institute of Technology - Marine and Freshwater Research Centre ","Galway-Mayo Institute of Technology - Marine and Freshwater Research Centre "
"Game & Wildlife Conservation Trust","Game & Wildlife Conservation Trust"
"Game and Wildlife Conservation Trust","Game & Wildlife Conservation Trust"
"Gangneung Wonju Natl Univ","Gangneung–Wonju National University"
"Gangneung Wonju Natl Univ, Dept Biol, 7 Jukheon Gil, Kangnung 25457, South Korea;","Gangneung–Wonju National University - Department of Biology"
"Gangneung Wonju Natl Univ, Dept Biol, Coll Nat Sci, Kangnung 210702, South Korea;","Gangneung–Wonju National University - Department of Biology"
"Gardline Limited","Gardline Group"
"Gardline Marine Sciences group","Gardline Group - Marine Sciences group"
"GBIF","GBIF Global Biodiversity Information Facility"
"GBIF Secretariat, Global Biodivers Informat Facil, Copenhagen, Denmark.","GBIF Global Biodiversity Information Facility"
"Global Biodivers Informat Facil Secretariat, Copenhagen, Denmark.","GBIF Global Biodiversity Information Facility"
"Global Biodiversity Information Facility (GBIF)","GBIF Global Biodiversity Information Facility"
"GBIF Swiss Node","GBIF Swiss Node"
"GEO BON","GEO BON (Group on Earth Observations Biodiversity Observation Network)"
"Geol Survey Denmark & Greenland GEUS, CF Mellers Alle 8, DK-8000 Aarhus C, Denmark.","Geological Survey of Denmark and Greenland"
"Geol Survey Finland GTK","Geological Survey of Finland (GTK)"
"Geol Survey Finland GTK, Espoo 02151, Finland;","Geological Survey of Finland (GTK)"
"Geol Survey Israel","Geological Survey of Israel"
"Geol Survey Israel, 30 Malchei Yisrael St, IL-95501 Jerusalem, Israel.","Geological Survey of Israel"
"Geol Survey Israel, IL-95501 Jerusalem, Israel;","Geological Survey of Israel"
"Geology Without Limits","Geology Without Limits Group"
"GEOMAR - Helmholtz-Zentrum für Ozeanforschung Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"GEOMAR Helmholtz Ctr Ocean Res Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Helmholtz Ctr Ocean Res Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Helmholtz Ctr Ocean Res Kiel GEOMAR","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Helmholtz Ctr Ocean Res Kiel GEOMAR, D-24105 Kiel, Germany","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Helmholtz Ctr Ocean Res Kiel GEOMAR, Wischhofstr 1-3, D-24148 Kiel, Germany;","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Helmholtz Ctr Ocean Res Kiel, GEOMAR, Kiel, Germany;","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Helmholtz Zentrum Ocean Res Kiel GEOMAR","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Helmholtz Zentrum Ocean Res Kiel GEOMAR, D-24148 Kiel, Germany;","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Helmholtz Zentrum Ozeanforsch Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Helmholtz Zentrum Ozeanforsch Kiel, GEOMAR, FB3-EOE-B,Hohenbergstr 2, D-24105 Kiel, Germany;","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"IFM-GEOMAR","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Leibniz Institute of Marine Sciences","GEOMAR Helmholtz Centre for Ocean Research Kiel"
"Geomarine Res, 19 Debron Ave, Auckland, New Zealand.","Geomarine Research"
"Geomarine Research","Geomarine Research"
"Geo-Marine Technology, Inc.","Geo-Marine Technology, Inc."
"Geomuseo Monte Arci","Geomuseo Monte Arci"
"Museo Storia Nat Aquilegia &amp; Geomuseo Monte Arci, Ctr Studi Storia Nat Mediterraneo, Oristano, Sardinia, Italy.","Geomuseo Monte Arci"
"George Washington Univ, Inst Biomed Sci, Washington, DC 20052 USA.","George Washington University"
"George Washington Univ","George Washington University (GWU)"
"George Washington Univ, Computat Biol Inst, Ashburn, VA 20147 USA;","George Washington University (GWU)"
"George Washington Univ, Computat Biol Inst, SEH 7000D,800 22nd St NW, Washington, DC 20052 USA.","George Washington University (GWU)"
"George Washington University","George Washington University (GWU)"
"Georgia Southern Univ, Dept Biol, Statesboro, GA 30460 USA.","Georgia Southern University"
"GeoZentrum Nordbayern","GeoZentrum Nordbayern"
"German Ctr Infect Res, Partner Site Bonn Cologne, D-53115 Bonn, Germany.","German Center for Infection Research"
"German Centre for Integrative Biodiversity Research (iDiv)","German Centre for Integrative Biodiversity Research (iDiv)"
"GFBio e.V.","German federation for biological data (gf bio)"
"Bundesamt für Naturschutz / Federal Agency for Nature Conservation","Germany government - Federal Agency for Nature Conservation"
"Landesamt für Natur, Umwelt und Verbraucherschutz Nordrhein-Westfalen","Germany government - State Agency for Nature, Environment and Consumer Protection North Rhine-Westphalia"
"Landesforschungsanstalt für Landwirtschaft","Landesforschungsanstalt für Landwirtschaft und Fischerei"
"Ghent University","Ghent University"
"Ghent University (UGent)","Ghent University"
"Ghent University (UGent) / Antwerp University (UA)","Ghent University"
"U. Ghent","Ghent University"
"ugent","Ghent University"
"Ugent","Ghent University"
"UGent","Ghent University"
"Ugent, VLIZ","Ghent University"
"Univ Ghent","Ghent University"
"Universiteit Gent","Ghent University"
"Department of Civil Engineering, Ghent University","Ghent University - Department of Civil Engineering"
"Faculty of Bioscience Engineering, Gent Univesity","Ghent University - Faculty of Bioscience Engineering"
"Department of Animal Science and Aquatic Ecology, Ghent University","Ghent University - Faculty of Bioscience Engineering - Department of Animal Science and Aquatic Ecology"
"Ghent University, Laboratory of Environmental Toxicology and Aquatic Ecology","Ghent University - Faculty of Bioscience Engineering - Department of Animal sciences and aquatic ecology - Environmental Toxicology Unit (GhEnToxLab)"
"Interfaculty Research Consortium Marine@UGent. Secretariat: Laboratory of Environmental Toxicology and Aquatic Ecology","Ghent University - Faculty of Bioscience Engineering - Department of Animal sciences and aquatic ecology - Environmental Toxicology Unit (GhEnToxLab)"
"Laboratory of Environmental Toxicology and Aquatic Ecology, Department of Animal Sciences and Aquatic Ecology, Ghent University","Ghent University - Faculty of Bioscience Engineering - Department of Animal sciences and aquatic ecology - Environmental Toxicology Unit (GhEnToxLab)"
"Laboratory of Environmental Toxicology and Aquatic Ecology, Environmental Toxicology Unit - GhEnToxLab, Ghent University","Ghent University - Faculty of Bioscience Engineering - Department of Animal sciences and aquatic ecology - Environmental Toxicology Unit (GhEnToxLab)"
"Laboratory of Environmental Toxicology and Aquatic Ecology, Ghent University","Ghent University - Faculty of Bioscience Engineering - Department of Animal sciences and aquatic ecology - Environmental Toxicology Unit (GhEnToxLab)"
"Laboratory of Aquaculture and Artemia Reference Center (ARC), Faculty of Bioscience Engineering, Ghent University","Ghent University - Faculty of Bioscience Engineering - Department of Animal Sciences and Aquatic Ecology - Laboratory of Aquaculture & Artemia Reference Center (ARC)"
"BIOMATH, Department of Data Analysis and Mathematical Modelling, Ghent University","Ghent University - Faculty of Bioscience Engineering - Department of Data Analysis and Mathematical Modelling - BIOMATH"
"BIOMATHâ€”Model-Based Analysis and Optimisation of Bioprocesses, Department of Data Analysis and Mathematical Modelling, Universiteit Gent","Ghent University - Faculty of Bioscience Engineering - Department of Data Analysis and Mathematical Modelling - BIOMATH"
"Univ Ghent, KERMIT, Dept Data Anal & Math Modelling, Fac Biosci Engn, B-9000 Ghent, Belgium.","Ghent University - Faculty of Bioscience Engineering - Department of Data Analysis and Mathematical Modelling - BIOMATH"
"Research Group Soil Spatial Inventory Techniques, Faculty of Bioscience Engineering, Ghent University","Ghent University - Faculty of Bioscience Engineering - Research Group Soil Spatial Inventory Techniques"
"Faculty of Engineering and Architecture, Ghent University","Ghent University - Faculty of Engineering and Architecture"
"Faculteit ingenieurswetenschappen en architectuur, Vakgroep industrieel systeem- en productontwerp; Electronica-ICT","Ghent University - Faculty of Engineering and Architecture - Department of Industrial Systems Engineering and Product Design"
"Ghent University, Faculty of Science","Ghent University - Faculty of Sciences"
"Biology Department, Faculty of Sciences, Ghent University","Ghent University - Faculty of Sciences - Biology Department"
"Department of Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department"
"Ghent University, Faculty of Sciences, Department of Biology","Ghent University - Faculty of Sciences - Biology Department"
"Ghent University, Laboratory of Microbiology","Ghent University - Faculty of Sciences - Biology Department - Laboratory of Microbiology"
"Research Unit Nematology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Nematology Research Unit"
"*Sabbe, K.: Protistology & Aquatic Ecology Lab, Ghent University, Krijgslaan 281-S8, 9000 Ghent, Belgium","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Faculty of Sciences â€“ research group Protistology & Aquatic Ecology","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Ghent University, Department of Biology, Laboratory of Protistology & Aquatic Ecology","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Ghent University, Department of Biology, Laboratory of Protistology &amp; Aquatic Ecology","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Ghent University, Protistology and Aquatic Ecology","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Laboratory of Protistology & Aquatic Ecology, Department of Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Laboratory of Protistology &amp; Aquatic Ecology, Department Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Protistology & Aquatic Ecology (PAE), Department of Biology, Faculty of Science, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Protistology & Aquatic Ecology Laboratory, Biology Department, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Protistology &amp; Aquatic Ecology (PAE), Department of Biology, Faculty of Science, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Protistology and Aquatic Ecology, Department of Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Univ Ghent, Protistol & Aquat Ecol Lab, Krijgslaan 281-S8, B-9000 Ghent, Belgium.","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)"
"Evolutionary Morphology of Vertebrates, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Evolutionary morphology of vertebrates"
"Biology Department, Ghent University, Marine Biology","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Biology Department, Marine Biology Section, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Biology Department, Marine Biology Section, Ghent University (UGent)","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Biology Department, Research Group Marine Biology, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Department of Biology, Ghent University, Marine Section","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Department of Biology, Marine Biology Lab, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Department of Biology, Marine Biology Research Group, Ghent University","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University (UGent), Biology Department, Marine Biology Section","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Biology Department, Marine Biology","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Biology Department, Marine Biology Research Group","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Biology Department, Marine Biology Section","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Department Biology, Marine Biology Research Group","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Department of Biology, Marine Biology Research Group","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Ghent University, Department of Biology, Marine Biology Section","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
