raw_institute,raw_source,stand_institute
Beijing Genomics Institute (BGI),1-marinespecies.org_users_2023-11-07,Beijing Genomics Institute (BGI)
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Western Pacific Regional Fishery Management Council,1-marinespecies.org_users_2023-11-07,Western Pacific Regional Fishery Management Council
Axiom Data Science,1-marinespecies.org_users_2023-11-07,Axiom Data Science
European Commission -  DG SANTE,1-marinespecies.org_users_2023-11-07,EU - European Commission -  DG SANTE (DG for Health and Food Safety)
Arctos,1-marinespecies.org_users_2023-11-07,Arctos
NOAA-NCEI,1-marinespecies.org_users_2023-11-07,NOAA National Oceanic And Atmospheric Administration - NCEI National Centers for Environmental Information
,1-marinespecies.org_users_2023-11-07,
University Hamburg; Center for Natural History,1-marinespecies.org_users_2023-11-07,University of Hamburg - Center for Natural History
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Fugro GB Marine Ltd,1-marinespecies.org_users_2023-11-07,Fugro
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
"Taiwan Biodiversity Information Facility (TaiBIF), Biodiversity Research Centre, Academia Sinica",1-marinespecies.org_users_2023-11-07,Academia Sinica - Biodiversity Research Centre - Taiwan Biodiversity Information Facility (TaiBIF)
,1-marinespecies.org_users_2023-11-07,
BASF SE,1-marinespecies.org_users_2023-11-07,BASF
California Academy of Sciences,1-marinespecies.org_users_2023-11-07,California Academy of Sciences
"Museu de Ciències Naturals de Barcelona, Department of Palaeontology",1-marinespecies.org_users_2023-11-07,Museum of Natural Sciences of Barcelona - Department of Palaeontology
Alive Fundació,1-marinespecies.org_users_2023-11-07,Alive Fund
,1-marinespecies.org_users_2023-11-07,
Insitech Partners LLC,1-marinespecies.org_users_2023-11-07,Insitech Partners LLC
"Duke University, William Peace University",1-marinespecies.org_users_2023-11-07,Duke University
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
"Canadian National Collection of Insects, Arachnids & Nematodes",1-marinespecies.org_users_2023-11-07,"Ottawa Research and Development Centre - Canadian National Collection of Insects, Arachnids & Nematodes"
University of Louisiana at Lafayette,1-marinespecies.org_users_2023-11-07,University of Louisiana at Lafayette
University Hamburg; Zentrum für Bioinformatik,1-marinespecies.org_users_2023-11-07,University of Hamburg - Center for Bioinformatics
,1-marinespecies.org_users_2023-11-07,
Cercle Geologique du Hainaut,1-marinespecies.org_users_2023-11-07,Cercle Geologique du Hainaut
Thomson Environmental Consultants,1-marinespecies.org_users_2023-11-07,Thomson Environmental Consultants
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
"Project Manager - DDTS EU Exit Programme| Department for Environment, Food and Rural Affairs",1-marinespecies.org_users_2023-11-07,"UK government - Department for Environment, Food and Rural Affairs - Digital, Data & Technology Services (DDTS) EU Exit Programme"
,1-marinespecies.org_users_2023-11-07,
"Industrial Ecology Programme, Department of Energy and Process Engineering, Norwegian University of Science and Technology (NTNU)",1-marinespecies.org_users_2023-11-07,Norwegian University of Science and Technology (NTNU) - Faculty of Engineering - Department of Energy and Process Engineering - Industrial Ecology Programme
KBIN,1-marinespecies.org_users_2023-11-07,RBINS Royal Belgian Institute of Natural Sciences (RBINS)
Universidad de Murcia,1-marinespecies.org_users_2023-11-07,University of Murcia
Selkirk College,1-marinespecies.org_users_2023-11-07,Selkirk College
"ddms, Inc.",1-marinespecies.org_users_2023-11-07,DDMS Inc.
BGBM,1-marinespecies.org_users_2023-11-07,Botanical Garden and Botanical Museum (BGBM)
,1-marinespecies.org_users_2023-11-07,
"Biodiversity Research Center, Academia Sinica",1-marinespecies.org_users_2023-11-07,Academia Sinica - Biodiversity Research Centre
Revive & Restore,1-marinespecies.org_users_2023-11-07,Revive & Restore
CNRS IMBE: Mediterranean institute of Biodiversity and Ecology (marine and continental),1-marinespecies.org_users_2023-11-07,CNRS - Mediterranean institute of Biodiversity and Ecology IMBE
Draper,1-marinespecies.org_users_2023-11-07,Draper Inc. 
Haus der Natur Salzburg,1-marinespecies.org_users_2023-11-07,Haus der Natur Salzburg
Station Biologique de Roscoff - CNRS - Sorbonne Université,1-marinespecies.org_users_2023-11-07,Station Biologique de Roscoff
cefas,1-marinespecies.org_users_2023-11-07,"CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
University of Southampton,1-marinespecies.org_users_2023-11-07,University of Southampton
"National Taiwan Ocean University,Department of Food Science",1-marinespecies.org_users_2023-11-07,National Taiwan Ocean University (NTOU) - Department of Food Science
Stichting observation international,1-marinespecies.org_users_2023-11-07,observation international
Cornell University/University of Saskatchewan,1-marinespecies.org_users_2023-11-07,Cornell University
,1-marinespecies.org_users_2023-11-07,
eOceans,1-marinespecies.org_users_2023-11-07,eOceans
Barcode of Life Datasystem (BOLD) - Centre for Biodiversity Genomics (CBG) ,1-marinespecies.org_users_2023-11-07,Centre for Biodiversity Genomics (CBG)
NUI Galway,1-marinespecies.org_users_2023-11-07,National University of Ireland Galway
University of Hawaii at Hilo,1-marinespecies.org_users_2023-11-07,
Dalhousie University,1-marinespecies.org_users_2023-11-07,Dalhousie University
Seasearch c/o Marine Conservation Society,1-marinespecies.org_users_2023-11-07,Marine Conservation Society
Missouri Botanical Garden,1-marinespecies.org_users_2023-11-07,
"Swedish Museum of Natural History, Department of Palaeobiology",1-marinespecies.org_users_2023-11-07,Swedish Museum of Natural History - Department of Palaeobiology
ILVO,1-marinespecies.org_users_2023-11-07,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food"
CEFAS,1-marinespecies.org_users_2023-11-07,"CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
,1-marinespecies.org_users_2023-11-07,
Massey University Auckland,1-marinespecies.org_users_2023-11-07,Massey University
The University of Chicago,1-marinespecies.org_users_2023-11-07,
North Carolina Museum of Natural Sciences,1-marinespecies.org_users_2023-11-07,
Hafok,1-marinespecies.org_users_2023-11-07,Hafok AB
Stony Brook University,1-marinespecies.org_users_2023-11-07,Stony Brook University
Imperial College London,1-marinespecies.org_users_2023-11-07,Imperial College London
Zoological Society of London,1-marinespecies.org_users_2023-11-07,Zoological Society of London
Yale University,1-marinespecies.org_users_2023-11-07,Yale University
"Fisheries and Oceans Canada, Pacific Biological Station",1-marinespecies.org_users_2023-11-07,Government of Canada - Fisheries and Oceans Canada - Pacific Biological Station
Scottish Environment Protection Agency,1-marinespecies.org_users_2023-11-07,
Dalhousie Univeristy,1-marinespecies.org_users_2023-11-07,
Field Museum of Natural History,1-marinespecies.org_users_2023-11-07,
Executive Environmnet Agency,1-marinespecies.org_users_2023-11-07,Ministry of Environment and Water - Executive Environment Agency (ExEA)
Murdoch University,1-marinespecies.org_users_2023-11-07,
Individual,1-marinespecies.org_users_2023-11-07,personal
Natural Resources Wales,1-marinespecies.org_users_2023-11-07,Natural Resources Wales
"iNaturalist, California Academy of Scienes and National Geogrraphic Society",1-marinespecies.org_users_2023-11-07,National Geographic Society (NGS)
"National Institutes of Health, National Center for Biotechnology Information",1-marinespecies.org_users_2023-11-07,National Center for Biotechnology Information (NCBI)
California Academy of Sciences,1-marinespecies.org_users_2023-11-07,California Academy of Sciences
Cawthron Institute,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
University of New Hampshire,1-marinespecies.org_users_2023-11-07,University of New Hampshire
Monterey Bay Aquarium Research Institute (MBARI),1-marinespecies.org_users_2023-11-07,
Virginia Institute of Marine Science,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Senckenberg Research Institute and Natural History Museum,1-marinespecies.org_users_2023-11-07,Naturmuseum Senckenberg - Research Institute and Natural History Museum Frankfurt
,1-marinespecies.org_users_2023-11-07,
VIMAR - Vida Marina ,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Universidade Federal Fluminense,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
BGI-Qingdao,1-marinespecies.org_users_2023-11-07,BGI-Qingdao
BGI-Qingdao,1-marinespecies.org_users_2023-11-07,BGI-Qingdao
Smithsonian,1-marinespecies.org_users_2023-11-07,
"Ocean University of China, College of Marine Life",1-marinespecies.org_users_2023-11-07,
"Institute of Microbiology, Chinese Academy of Sciences (CAS)",1-marinespecies.org_users_2023-11-07,
"The Department of Agriculture, Environment and Rural Affairs ",1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
University of Tartu,1-marinespecies.org_users_2023-11-07,University of Tartu
,1-marinespecies.org_users_2023-11-07,
College of Marine Life Science Ocean University of China,1-marinespecies.org_users_2023-11-07,Ocean University of China - College of Marine Life Sciences
OBIS/Project office for IODE,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Galway Marine Institute - Foras na Mara,1-marinespecies.org_users_2023-11-07,Marine Institute
"Institute of Animals, Chinese Academy of Sciences",1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
The University of Hong Kong,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research, and Helmholtz Institute for Functional Marine Biodiversity at University Oldenburg",1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
National Research Council of Italy,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Yale University,1-marinespecies.org_users_2023-11-07,Yale University
Ocean Ecology Limited,1-marinespecies.org_users_2023-11-07,
University of Guelph,1-marinespecies.org_users_2023-11-07,
"University of California, Berkeley",1-marinespecies.org_users_2023-11-07,
University of Bologna,1-marinespecies.org_users_2023-11-07,
University of Tartu Natural History Museum,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Amelior,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Museum of Comparative Zoology,1-marinespecies.org_users_2023-11-07,Harvard University - Harvard Museum of Comparative Zoology
Cyprus University of Technology,1-marinespecies.org_users_2023-11-07,Cyprus University of Technology
National Marine Fisheries Research Institute,1-marinespecies.org_users_2023-11-07,
Aquazoo Löbbecke Museum Düsseldorf,1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Max Planck Institute for Mathematics in the Sciences,1-marinespecies.org_users_2023-11-07,Max-Planck-Institute für Mathematics in the Sciences
"Centre of Excellence in Marine Biology   University of Karachi, Karachi",1-marinespecies.org_users_2023-11-07,
,1-marinespecies.org_users_2023-11-07,
Personal application,1-marinespecies.org_users_2023-11-07,
Vrije Universiteit Amsterdam,1-marinespecies.org_users_2023-11-07,
Monterey Bay Aquarium Research Institute (MBARI),1-marinespecies.org_users_2023-11-07,
Base de Données des Espèces Non Domestiques (BDEND),1-marinespecies.org_users_2023-11-07,
Virginia Institute of Marine Science,1-marinespecies.org_users_2023-11-07,
"Muséum national d'Histoire naturelle (MNHN), Paris",1-marinespecies.org_users_2023-11-07,
MPEDA ,1-marinespecies.org_users_2023-11-07,India government - Marine Products Export Development Authority (MPEDA)
Eco Marine Consultants,1-marinespecies.org_users_2023-11-07,Eco Marine Consultants
,1-marinespecies.org_users_2023-11-07,
Ocean Networks Canada,1-marinespecies.org_users_2023-11-07,University of Victoria - Ocean Networks Canada
university of haifa,1-marinespecies.org_users_2023-11-07,
institute of zoology,1-marinespecies.org_users_2023-11-07,
University of Southern Denmark ,1-marinespecies.org_users_2023-11-07,
Universidade de Vigo,1-marinespecies.org_users_2023-11-07,University of Vigo
Beijing Normal University,1-marinespecies.org_users_2023-11-07,
 Hellenic open University,1-marinespecies.org_users_2023-11-07,
Leipzig University,1-marinespecies.org_users_2023-11-07,
Smithsonian National Museum of Natural History,1-marinespecies.org_users_2023-11-07,
Leibniz Institute for the Analysis of Biodiversity Change,1-marinespecies.org_users_2023-11-07,
Northeastern Asia Biodiversity Institute,1-marinespecies.org_users_2023-11-07,
Informatiehuis Marien (IHM) - Dutch Marine Information and Data Centre),1-marinespecies.org_users_2023-11-07,
"National Center for Biotechnology Information, NIH",1-marinespecies.org_users_2023-11-07,
University of Miami,1-marinespecies.org_users_2023-11-07,
"University of Colorado, Boulder",1-marinespecies.org_users_2023-11-07,
Hyperion Technology Group,1-marinespecies.org_users_2023-11-07,
University of Maryland,1-marinespecies.org_users_2023-11-07,
"Università Politecnica delle Marche, Department of Life and Environmental Sciences",1-marinespecies.org_users_2023-11-07,
Biologica Environmental Services Ltd.,1-marinespecies.org_users_2023-11-07,
VLIZ,1-marinespecies.org_users_2023-11-07,VLIZ Flanders Marine Institute
"Instituto de Ciencias del Mar y Limnología, Universidad Nacional Autónoma de México",1-marinespecies.org_users_2023-11-07,National Autonomous University of Mexico (UNAM)
Kiel University,1-marinespecies.org_users_2023-11-07,
"Pristine Seas, National Geographic",1-marinespecies.org_users_2023-11-07,
Paleontological Research Institution,1-marinespecies.org_users_2023-11-07,
National University of Singapore,1-marinespecies.org_users_2023-11-07,National University of Singapore
University of Georgia,1-marinespecies.org_users_2023-11-07,
University of Hawaii at Hilo,1-marinespecies.org_users_2023-11-07,
University of Guelph,1-marinespecies.org_users_2023-11-07,
Utwente,1-marinespecies.org_users_2023-11-07,
Durham University,1-marinespecies.org_users_2023-11-07,
Mahidol University,1-marinespecies.org_users_2023-11-07,
"Stockholm Resilience Centre, Stockholm University",1-marinespecies.org_users_2023-11-07,
KU Leuven,1-marinespecies.org_users_2023-11-07,Catholique University of Louvain
XMU(Xiamen University),1-marinespecies.org_users_2023-11-07,
Institute of Biology,1-marinespecies.org_users_2023-11-07,
"Mississippi State University, NOAA, and the Northern Gulf Institute",1-marinespecies.org_users_2023-11-07,
British Oceanographic Data Centre,1-marinespecies.org_users_2023-11-07,
Aalborg University,1-marinespecies.org_users_2023-11-07,
British Shell Collectors Club,1-marinespecies.org_users_2023-11-07,
Ocean Networks Canada,1-marinespecies.org_users_2023-11-07,University of Victoria - Ocean Networks Canada
Poznan Supercomputing and Networking Center,1-marinespecies.org_users_2023-11-07,
Denver Museum of Nature and Science,1-marinespecies.org_users_2023-11-07,
NTNU Vitenskapsmuseet,1-marinespecies.org_users_2023-11-07,
Thünen Institute of Sea Fisheries,1-marinespecies.org_users_2023-11-07,
VLIZ,1-marinespecies.org_users_2023-11-07,VLIZ Flanders Marine Institute
Altas of Living Australia,1-marinespecies.org_users_2023-11-07,
University of Colorado Boulder,1-marinespecies.org_users_2023-11-07,University of Colorado Boulder
"Department of Biodiversity, Conservtion and Attractions",1-marinespecies.org_users_2023-11-07,
Interoceanmetal Joint Organization,1-marinespecies.org_users_2023-11-07,
Environment Southland,1-marinespecies.org_users_2023-11-07,
National Academy of Marine Research,1-marinespecies.org_users_2023-11-07,
Centre d'Etudes Biologiques de Chizé,1-marinespecies.org_users_2023-11-07,
Institute for Environmental Protection and Research (ISPRA),1-marinespecies.org_users_2023-11-07,
National Research Institute of Fisheries Science,1-marinespecies.org_users_2023-11-07,
Centro de Ecología Aplicada,1-marinespecies.org_users_2023-11-07,
ILVO DIER1,1-marinespecies.org_users_2023-11-07,
University of Western Australia,1-marinespecies.org_users_2023-11-07,University of Western Australia
Institut de Recherche pour le Développement (IRD),1-marinespecies.org_users_2023-11-07,
Natural History Museum,1-marinespecies.org_users_2023-11-07,NHM (Natural History Museum)
University of Durham,1-marinespecies.org_users_2023-11-07,
"Universidad EAFIT, Universidad de Antioquia",1-marinespecies.org_users_2023-11-07,
Swedish Meteorological and Hydrological Institute,1-marinespecies.org_users_2023-11-07,
INRAE,1-marinespecies.org_users_2023-11-07,
AI LAB,1-marinespecies.org_users_2023-11-07,
Archireef,1-marinespecies.org_users_2023-11-07,
University of Alabama,1-marinespecies.org_users_2023-11-07,
IDLab (Ghent University - imec),1-marinespecies.org_users_2023-11-07,
"Institute of Evolutionary Biology (IBE, UPF-CSIC)",1-marinespecies.org_users_2023-11-07,
Harokopio University of Athens,1-marinespecies.org_users_2023-11-07,
Hokkaido University,1-marinespecies.org_users_2023-11-07,Hokkaido University
University of British Columbia,1-marinespecies.org_users_2023-11-07,University of British Columbia
Natural History Museum of LA,1-marinespecies.org_users_2023-11-07,
Colgate University,1-marinespecies.org_users_2023-11-07,
University of Washington,1-marinespecies.org_users_2023-11-07,University of Washington
National Research Council - University of Salento - LifeWatch Italy,1-marinespecies.org_users_2023-11-07,
NTNU Norway,1-marinespecies.org_users_2023-11-07,
IPMA,1-marinespecies.org_users_2023-11-07,
NOAA,1-marinespecies.org_users_2023-11-07,NOAA National Oceanic And Atmospheric Administration
the University of Tokyo,1-marinespecies.org_users_2023-11-07,
"University of Natural Resources and Life Sciences, Vienna",1-marinespecies.org_users_2023-11-07,
Università di Firenze,1-marinespecies.org_users_2023-11-07,
Indian Institute of Science Education and Research,1-marinespecies.org_users_2023-11-07,
Esox Biologics Ltd,1-marinespecies.org_users_2023-11-07,
Norwegina Institute for Nature Research,1-marinespecies.org_users_2023-11-07,
The University of Western Australia,1-marinespecies.org_users_2023-11-07,
Universidad Nacional Agraria La Molina,1-marinespecies.org_users_2023-11-07,
Instituto Politecnico Nacional,1-marinespecies.org_users_2023-11-07,
USGS,1-marinespecies.org_users_2023-11-07,
Det Teknologiske Universitet (DTU),1-marinespecies.org_users_2023-11-07,
Ghent University,1-marinespecies.org_users_2023-11-07,Ghent University
CNRS,1-marinespecies.org_users_2023-11-07,CNRS
ifremer,1-marinespecies.org_users_2023-11-07,
